timestamp,amount,price,symbol
2013-05-13 10:35:12,0.5,116.7,BTC
2013-05-13 10:35:12,0.9368324,116.88,BTC
2013-05-13 10:35:13,2.5,116.89,BTC
2013-05-13 10:35:13,12.25,116.901,BTC
2013-05-13 10:35:38,0.11,117.39,BTC
2013-05-13 10:35:38,0.3470041,117.026,BTC
2013-05-13 10:42:57,0.2,117.0,BTC
2013-05-13 11:01:25,0.21,117.62,BTC
2013-05-13 11:01:29,10.0,118.0,BTC
2013-05-13 11:01:32,50.0,118.0,BTC
2013-05-13 11:01:34,1.0,118.0,BTC
2013-05-13 11:01:36,1.0,118.2,BTC
2013-05-13 11:01:39,1.0,118.4,BTC
2013-05-13 11:01:40,0.61,118.48,BTC
2013-05-13 11:03:17,1.0,118.5,BTC
2013-05-13 11:07:21,0.6149004,118.0,BTC
2013-05-13 11:09:20,0.0686206,117.721,BTC
2013-05-13 11:09:44,0.0926626,117.75,BTC
2013-05-13 11:10:11,0.7984026,117.75,BTC
2013-05-13 11:10:39,4.0,118.0,BTC
2013-05-13 11:11:06,0.051988699999999985,117.721,BTC
2013-05-13 11:12:00,4.0,117.7,BTC
2013-05-13 11:16:48,0.1,117.3,BTC
2013-05-13 11:18:36,0.1,117.3,BTC
2013-05-13 11:30:41,2.5,117.89,BTC
2013-05-13 11:30:41,0.3123037,117.974,BTC
2013-05-13 11:30:42,14.033382199999998,118.0,BTC
2013-05-13 11:34:47,14.6235671,117.8,BTC
2013-05-13 11:35:51,0.3285696,117.8,BTC
2013-05-13 11:35:53,50.0,117.98,BTC
2013-05-13 11:35:54,9.0,118.01,BTC
2013-05-13 11:35:56,0.15,118.87,BTC
2013-05-13 11:35:58,0.025,118.444,BTC
2013-05-13 11:42:46,28.0,117.9,BTC
2013-05-13 11:46:43,0.4981471,118.78,BTC
2013-05-13 11:47:21,2.0,117.9,BTC
2013-05-13 11:49:13,12.2,117.9,BTC
2013-05-13 11:50:31,1.0,117.7,BTC
2013-05-13 11:50:33,0.1,117.5,BTC
2013-05-13 11:50:35,2.67,118.9,BTC
2013-05-13 11:50:37,6.33,118.97,BTC
2013-05-13 11:51:19,1.266,118.05,BTC
2013-05-13 11:51:44,88.0,117.5,BTC
2013-05-13 12:01:28,0.1,117.7,BTC
2013-05-13 12:06:54,8.469329400000001,118.58,BTC
2013-05-13 12:07:16,1.4306706,118.65,BTC
2013-05-13 12:07:17,1.5,118.499,BTC
2013-05-13 12:16:51,1.0,118.0,BTC
2013-05-13 12:18:41,0.2808086,118.3,BTC
2013-05-13 12:25:14,1.0,117.5,BTC
2013-05-13 12:25:16,1.0,117.3,BTC
2013-05-13 12:25:16,1.9757925,117.75,BTC
2013-05-13 12:30:11,1.0,117.8,BTC
2013-05-13 12:30:13,1.0,117.6,BTC
2013-05-13 12:30:14,0.0118407,117.9,BTC
2013-05-13 12:30:15,1.0,117.4,BTC
2013-05-13 12:30:17,1.6454156000000002,117.76,BTC
2013-05-13 12:30:17,0.0143422,117.71,BTC
2013-05-13 12:30:18,1.0,117.2,BTC
2013-05-13 12:30:19,1.2982051,117.59,BTC
2013-05-13 12:30:20,0.1994079,117.501,BTC
2013-05-13 12:30:22,1.0,117.0,BTC
2013-05-13 12:30:23,0.0050302,117.454,BTC
